dataset,eps,intra_ratio,inter_ratio,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel,syn_edges
Chamelon,0.5,0.5,0.6,0.09987531588557833,0.17272727272727273,0.05352122506153904,4.586056142500249,0.6727272727272726,0.3795382916668544,0.19817211553098055,5554.4
Chamelon,0.5,0.5,0.7,0.09779649738376225,0.1181818181818182,0.0493874800728575,4.058639719749632,0.3636363636363636,0.4041323748566291,0.20195086839418508,6543.2
Chamelon,0.5,0.5,0.8,0.09349966530493872,0.16363636363636364,0.0516441127370032,4.2662498509856785,0.2727272727272727,0.42289025771148125,0.22025935317847534,6042.4
Chamelon,0.5,0.5,0.9,0.09439511745349018,0.17272727272727273,0.05500558202352279,4.497899618975476,0.3454545454545454,0.4874068597687792,0.2217092471617351,5976.4
Chamelon,0.5,0.5,1.0,0.10169840550021883,0.13636363636363638,0.05510728638151481,4.548888954349097,0.5272727272727271,0.4476320337045919,0.2106494947392504,5263.6
Chamelon,1,0.1,0.1,0.2558203828578448,0.5272727272727272,0.006227669129534042,2.2455162650385403,0.07272727272727272,0.2907860109005095,0.11428907667273284,13169.4
Chamelon,1,0.1,0.2,0.22287585702765433,0.6454545454545454,0.006267604498555955,2.2043024520580623,0.10909090909090909,0.2379040919247853,0.22258027982440504,12707.6
Chamelon,1,0.1,0.3,0.205304054897908,0.5454545454545455,0.011768318138668351,2.720677697164072,0.10909090909090909,0.2108423082298458,0.17727727831606693,11342.0
Chamelon,1,0.1,0.4,0.22933558659008207,0.5909090909090909,0.00296905964169465,2.045977943586306,0.16363636363636364,0.1471524258313449,0.28319785916333495,15864.4
Chamelon,1,0.1,0.5,0.19627026315631899,0.7181818181818181,0.0026350268660476355,2.193214844925217,0.23636363636363633,0.13188226529589883,0.3156343378545854,14619.6
Chamelon,1,0.1,0.6,0.1991080915172956,0.5909090909090909,0.005378114548756387,2.285488464061192,0.07272727272727272,0.18901696442258042,0.22892150793593852,13102.6
Chamelon,1,0.1,0.7,0.20212944265877825,0.509090909090909,0.002185823034854587,1.934198708605488,0.1818181818181818,0.12332943275546293,0.21594386997668616,15888.2
Chamelon,1,0.1,0.8,0.2022469836118547,0.5909090909090909,0.0032882369897241103,1.9902442200334662,0.07272727272727272,0.06986918253290661,0.3306052006717737,16246.2
Chamelon,1,0.1,0.9,0.19633819126736776,0.6181818181818182,0.0049101319573827944,2.233988288117681,0.14545454545454545,0.1412831374197811,0.3204440053479817,14036.0
Chamelon,1,0.1,1.0,0.1908249988385954,0.6909090909090909,0.005380108576105105,2.268316624824041,0.16363636363636364,0.22055378864747857,0.2255775949330916,13655.6
Chamelon,1,0.2,0.1,0.2315263875011972,0.6818181818181819,0.0067353528265019875,2.433911599110508,0.12727272727272726,0.28496237530773877,0.17051993608405375,13840.4
Chamelon,1,0.2,0.2,0.1915182480038357,0.7090909090909091,0.00963444733670504,2.4737001169153214,0.23636363636363633,0.1184776578916582,0.20273758045791088,12347.4
Chamelon,1,0.2,0.3,0.19632061956442198,0.6272727272727272,0.00488037969481628,2.3346714803748947,0.3636363636363636,0.37984101256122893,0.14380590134556615,12931.2
Chamelon,1,0.2,0.4,0.20558341499344576,0.6272727272727273,0.004885928797010726,2.0102835550438716,0.16363636363636364,0.2262682489573368,0.18862718411074567,15680.8
Chamelon,1,0.2,0.5,0.19394327871196756,0.6090909090909091,0.010721245458856492,2.57481602209769,0.23636363636363633,0.10850501389217422,0.17356641054612792,13893.6
Chamelon,1,0.2,0.6,0.19620346147068568,0.7,0.0026111116098075974,2.285045005130006,0.32727272727272727,0.18105964686330142,0.29601823814250183,15400.8
Chamelon,1,0.2,0.7,0.18533849602809394,0.6363636363636364,0.004080005237977816,2.3191075355267614,0.2545454545454545,0.25562177419104687,0.17695123966172982,14151.4
Chamelon,1,0.2,0.8,0.1980820933208122,0.6363636363636364,0.005165011930180941,2.010364583674854,0.23636363636363633,0.21242914700413448,0.15490814057958446,15533.0
